City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,sosnovo-ozerskoye,52.5249,111.5418,18.08,60,19,3.74,RU,1722814293
343,schroeder,-26.4125,-49.0731,21.86,97,75,0.42,BR,1722814294
344,mayfield,36.7417,-88.6367,32.86,62,0,0.0,US,1722814295
345,lompoc,34.6391,-120.4579,22.74,75,0,7.2,US,1722814296
346,xiaoweizhai,26.1903,107.5125,22.98,95,96,1.68,CN,1722814297
347,kankakee,41.15,-87.8667,30.64,75,0,3.6,US,1722814300
348,margate,51.3813,1.3862,15.73,80,71,4.98,GB,1722814249
349,egilsstadir,65.2653,-14.3948,11.95,76,75,2.57,IS,1722814302
350,colonia,50.9333,6.95,18.23,84,0,1.03,DE,1722814232
351,dedovichi,57.5517,29.9502,13.11,94,6,1.27,RU,1722814304
352,tari,-11.1105,14.3559,15.55,89,39,0.42,AO,1722814305
353,villamontes,-21.25,-63.5,19.71,46,8,1.66,BO,1722814307
354,cockburn town,21.4612,-71.1419,28.21,85,77,9.2,TC,1722814308
355,aginskoye,51.1,114.53,20.04,58,0,3.63,RU,1722814309
356,gisborne,-38.6533,178.0042,10.99,58,37,1.13,NZ,1722814310
357,khandyga,62.6667,135.6,19.32,45,80,2.92,RU,1722814311
358,timimoun,29.2639,0.231,35.21,9,0,3.09,DZ,1722814312
359,naracoorte,-36.9579,140.7383,10.29,69,100,1.29,AU,1722814314
360,siwa oasis,29.2041,25.5195,29.86,34,17,3.42,EG,1722814316
361,sabha,27.0377,14.4283,31.19,14,0,6.16,LY,1722814317
